probIn scale
0.5277432 0.0002079012
0.5411535 0.0002089887
0.5543127 0.000211693
0.5720819 0.0001918875
0.5642816 0.0001916895
0.5754585 0.0001904643
0.5427931 0.00018303
0.5073049 0.0001905429
0.5488794 0.0001950674
0.5580733 0.0001869972
0.6198468 0.0001918659
0.6477305 0.0001875056
0.6757512 0.0001789951
0.6720462 0.0001714768
0.7125833 0.0001713776
0.7337708 0.0001678956
0.7312955 0.0001656275
0.7334266 0.0001708348
0.7139851 0.0001675028
0.7377211 0.000171177
0.7684403 0.0001720794
0.7728863 0.0001723416
0.7512955 0.0001793258
0.7724023 0.0001765364
0.7360807 0.0001753753
0.7521153 0.0001734001
0.7499403 0.000176492
0.7172184 0.0001705467
0.74424 0.0001716797
0.7755902 0.0001718407
